ID Cortex	Empresa analisada	Produto analisado	Data	Título	ID análise de mídia	Veículo	Status classificação	Assunto específico	Assunto Específico Sugerido	ID Assunto Específico Sugerido
1018463	BTG Pactual	-	2020-01-03	Economía vuelve a caer en noviembre y ratifica un 2019 con el menor crecimiento de la última década	51318	Diario Financiero	Classificado	BTG Pactual avalia a economia do Chile	Economía vuelve a caer en noviembre y ratifica un 2019 con el menor crecimiento de la última década	4583
1020197	BTG Pactual	-	2020-01-07	Caixa define sindicato de bancos para IPO de unidade de seguros, dizem fontes	51382	MSN	Classificado	BTG coordena oferta da Caixa	BTG coordena oferta da Caixa	4605
1020190	BTG Pactual	-	2020-01-07	Caixa define sindicato de bancos para IPO de unidade de seguros, dizem fontes	51381	Portal R7	Classificado	BTG coordena oferta da Caixa	BTG coordena oferta da Caixa	4605
1023811	BTG Pactual	-	2020-01-13	Itaú e Banco Indusval entram em comercialização de energia elétrica	51571	BOL	Classificado	BTG opera no mercado elétrico desde 2010	Itaú e Banco Indusval entram em comercialização de energia elétrica	4677
1020767	BTG Pactual	-	2020-01-08	Caixa seleciona bancos para IPO de Seguros de R$ 15 bi	51414	Estadão	Classificado	BTG coordena oferta da Caixa	Caixa seleciona bancos para IPO de Seguros de R$ 15 bi	4619
1022380	BTG Pactual	-	2020-01-10	Justiça suspende contrato da Copel com Rothschild para venda de ativos de telecom	51491	Terra	Classificado	BTG analisa a empresa: Copel	Justiça suspende contrato da Copel com Rothschild para venda de ativos de telecom	4653
1020875	BTG Pactual	-	2020-01-08	Caixa Seguridade confirma que Caixa Econômica Federal contratou sindicato de bancos para IPO	51421	Terra	Classificado	BTG coordena oferta da Caixa	BTG coordena oferta da Caixa	4605
1021498	BTG Pactual	-	2020-01-09	Ação da Braskem sobe mais de 3% e Cielo cai 2% com recomendações; Positivo avança com chance em licitação	51440	Infomoney	Classificado	BTG coordena oferta da International Meal Company Alimentação	Cielo rebaixada pelo Bradesco BBI, Morgan revisa recomendações, MP-MG quer apresentar em breve denúncias contra a Vale e mais destaques	4628
1021636	BTG Pactual	-	2020-01-09	Exclusivo: Cinco construtoras pretendem entrar bolsa e devem movimentar R$ 5 bilhões em ofertas	51455	AGÊNCIA ESTADO	Classificado	BTG analisa mercado imobiliário	Exclusivo: Cinco construtoras pretendem entrar bolsa e devem movimentar R$ 5 bilhões em ofertas	4632
1017764	BTG Pactual	-	2020-01-01	Debêntures voltam a testar mercado em janeiro após ajustes de preços	51285	Valor Econômico	Classificado	Daniel Vaz, chefe da área de mercado de dívida local do BTG Pactual comenta sobre investimentos no mercado secundário	Daniel Vaz, chefe da área de mercado de dívida local do BTG Pactual comenta sobre investimentos no mercado secundário	4567
1022036	BTG Pactual	-	2020-01-10	Bancos digitais cresceram 147%	51466	Jornal do Commercio	Classificado	Mais da metade dos brasileiros preferem os bancos tradicionais	Bancos digitais cresceram 147%	4641
1019941	BTG Pactual	-	2020-01-06	Ibovespa fecha abaixo de 117 mil pontos com tensão EUA-Irã; Petrobras sobe	51352	Yahoo Brasil	Classificado	BTG analisa desempenho da bolsa	Ibovespa recua e vai abaixo de 117 mil pontos com aumento de tensão geopolítica; Natura sobe	4595
1023408	BTG Pactual	-	2020-01-13	Cresce busca por ouro, visto como porto seguro	51542	O Globo	Classificado	Contratos de ouro na bolsa brasileira	Cresce busca por ouro, visto como porto seguro para o investimento	4672
1019593	BTG Pactual	-	2020-01-06	As ações preferidas dos analistas para investir em janeiro	51331	Infomoney	Classificado	Recomendações	As ações preferidas dos analistas para investir em janeiro	4593
1017799	BTG Pactual	-	2020-01-02	Em análise na CVM, há mais de 50 ofertas	51294	Valor Econômico	Classificado	BTG Pactual coordena oferta da Rota das Bandeiras	BTG Pactual coordena oferta da Rota das Bandeiras	4568
1020726	BTG Pactual	-	2020-01-08	Mercado local atenua perda com exterior	51408	Valor Econômico	Classificado	Estrutura de juro privado	Mercado local atenua perda com exterior	4614
1019684	BTG Pactual	-	2020-01-06	Natura & Co eleva previsão de sinergias após concluir compra da Avon	51346	Reuters Brasil	Classificado	BTG analisa a empresa: Natura	Natura & Co eleva previsão de sinergias após concluir compra da Avon	4597
1023940	BTG Pactual	-	2020-01-13	Itaú Unibanco e Indusval entram no mercado de energia elétrica	51578	Yahoo Brasil	Classificado	BTG opera no mercado elétrico desde 2010	Itaú Unibanco e Indusval entram no mercado de energia elétrica	4678
1023585	BTG Pactual	-	2020-01-13	Banco Indusval tem aval do Cade para entrar em comercialização de energia elétrica	51560	Yahoo Brasil	Classificado	BTG citado em CV	BTG citado em CV	4675
1023034	BTG Pactual	-	2020-01-12	Lauro Jardim	51519	O Globo	Classificado	Disputa que pode obrigar a União a ressarcir a Petrobras em R$ 55 bilhões	Uma disputa de R$ 55 bilhões	4660
1023053	BTG Pactual	-	2020-01-12	Las razones de Luis Óscar Herrera para sumarse a Hacienda	51522	La Tercera	Classificado	BTG citado em CV	Las razones de Luis Óscar Herrera para sumarse a Hacienda	4664
1019480	BTG Pactual	-	2020-01-06	O Carrasco	51330	A Tarde	Classificado	Delegado determina que PF retome investigações da 64° fase da Lava Jato	O Carrasco	4590
1023435	BTG Pactual	-	2020-01-13	Brasil é país mais caro em vestuário	51546	Valor Econômico	Classificado	Roupas no Brasil tem alto valor, segundo Índice Zara, do BTG Pactual	Roupas no Brasil tem alto valor, segundo Índice Zara, do BTG Pactual	4652
1024135	BTG Pactual	-	2020-01-14	Bancos ampliam presença no mercado elétrico do País	51583	Diário do Comércio	Classificado	BTG opera no mercado elétrico desde 2010	Itaú e Banco Indusval entram em comercialização de energia elétrica	4677
1023397	BTG Pactual	-	2020-01-13	Itaú cria estrutura para operar em energia	51539	Valor Econômico	Classificado	BTG citado em CV	Itaú cria estrutura para operar no mercado de energia	4668
1024513	BTG Pactual	-	2020-01-14	Petrobras conclui venda de fatia na PO&GBV e encerra atividades na África	51592	Terra	Classificado	Petrobras vende fatia de 50% da Petrobras Oil & Gas B.V.	Petrobras conclui venda de fatia na PO&GBV e encerra atividades na África	4686
1017787	BTG Pactual	-	2020-01-02	Apesar do que disse Dias Toffoli, algumas empresas da Lava-Jato vão muito bem | Ancelmo	51292	O Globo	Classificado	Alta das ações do BTG Pactual	Alta das ações do BTG Pactual	4570
1023813	BTG Pactual	-	2020-01-13	Itaú e Banco Indusval entram em comercialização de energia elétrica	51572	Extra	Classificado	BTG opera no mercado elétrico desde 2010	Itaú e Banco Indusval entram em comercialização de energia elétrica	4677
1020180	BTG Pactual	-	2020-01-07	Caixa define sindicato de bancos para IPO de unidade de seguros, dizem fontes	51376	Reuters Brasil	Classificado	BTG coordena oferta da Caixa	BTG coordena oferta da Caixa	4605
1024142	BTG Pactual	-	2020-01-14	Roupas da Zara no Brasil custam o dobro do que nos EUA, mostra índice	51585	Exame	Classificado	Roupas no Brasil tem alto valor, segundo Índice Zara, do BTG Pactual	Roupas da Zara no Brasil custam o dobro do que nos EUA, mostra índice	4682
1024136	BTG Pactual	-	2020-01-14	Brasileiros desenvolvem índice financeiro para críptomoedas	51584	O Tempo	Classificado	BTG comercializa cotas da Hashdex	BTG comercializa cotas da Hashdex	4661
1020881	BTG Pactual	-	2020-01-08	Caixa Seguridade confirma que Caixa Econômica Federal contratou sindicato de bancos para IPO	51423	Reuters Brasil	Classificado	BTG coordena oferta da Caixa	BTG coordena oferta da Caixa	4605
1022438	BTG Pactual	-	2020-01-10	Justiça suspende contrato da Copel com Rothschild para venda de ativos de telecom	51495	Reuters Brasil	Classificado	BTG analisa a empresa: Copel	Justiça suspende contrato da Copel com Rothschild para venda de ativos de telecom	4653
1019224	BTG Pactual	-	2020-01-05	Valorização do seu dinheiro TERRENO FÉRTIL PARA INVESTIR	51324	O Povo	Classificado	Conte com o BTG na hora de investir	Valorização do seu dinheiro TERRENO FÉRTIL PARA INVESTIR	4587
1023475	BTG Pactual	-	2020-01-13	Cinco construtoras devem entrar na Bolsa e movimentar R$ 5 bilhões	51552	Portal R7	Classificado	BTG analisa mercado imobiliário	BTG analisa mercado imobiliário	4632
1022456	BTG Pactual	-	2020-01-10	Brasil é o mais caro entre 47 países para comprar roupa da Zara, diz estudo	51497	BOL	Classificado	Roupas no Brasil tem alto valor, segundo Índice Zara, do BTG Pactual	Brasil é o mais caro entre 47 países para comprar roupa da Zara, diz estudo	4656
1023481	BTG Pactual	-	2020-01-13	Cinco construtoras devem entrar na Bolsa e movimentar R$ 5 bilhões	51553	UOL	Classificado	BTG analisa mercado imobiliário	BTG analisa mercado imobiliário	4632
1020186	BTG Pactual	-	2020-01-07	Caixa define sindicato de bancos para IPO de unidade de seguros, dizem fontes	51379	Yahoo Brasil	Classificado	BTG coordena oferta da Caixa	BTG coordena oferta da Caixa	4605
1019666	BTG Pactual	-	2020-01-06	Natura & Co eleva previsão de sinergias após concluir compra da Avon	51341	Extra	Classificado	BTG analisa a empresa: Natura	Natura & Co eleva previsão de sinergias após concluir compra da Avon	4597
1024084	BTG Pactual	-	2020-01-14	As suspeitas de “negócios ocultos” do ministro Paulo Guedes	51580	Carta Capital	Classificado	Delação de Palocci não apresenta provas de que Dilma autorizou o BTG a ter acesso a informações sigilosas	Delação de Palocci não apresenta provas de que Dilma autorizou o BTG a ter acesso a informações sigilosas	4643
1017621	BTG Pactual	-	2020-01-01	JBS: acordo de acionistas entre J&F e BNDESPar perde validade	51271	Correio Popular	Classificado	BTG coordena oferta da JBS	BTG coordena oferta da JBS	4565
1020892	BTG Pactual	-	2020-01-08	Caixa Seguridade confirma que Caixa Econômica Federal contratou sindicato de bancos para IPO	51428	Portal R7	Classificado	BTG coordena oferta da Caixa	BTG coordena oferta da Caixa	4605
1020837	BTG Pactual	-	2020-01-08	"Álvaro Frasson, economista do BTG Pactual digital, diz que o futuro do Brasil está nas mãos do Congresso, que pode escolher pautas para o País crescer. #iG 

https://t.co/e5dA5Brku7"	51418	iG	Classificado	BTG projeta aumento do PIB para 2020	Álvaro Frasson, economista do BTG Pactual digital, diz que o futuro do Brasil está nas mãos do Congresso, que pode escolher pautas para o País crescer. #iG - https://economia.ig.com.br/2020-01-08/nao-adianta-votar-reforma-tributaria-no-1-semestre-e-travar-economia-diz-btg.html#utm_source=facebook&utm_medium=social&utm_campaign=ig	4621
1018289	BTG Pactual	-	2020-01-02	Fundos Imobiliários são nova aposta para investimentos em 2020	51315	Diário do Nordeste	Classificado	BTG Pactual avalia investimento no mercado imobiliário	Fundos Imobiliários são nova aposta para investimentos em 2020	4579
1020546	BTG Pactual	-	2020-01-07	Onde investir em 2020: as small caps para ter na carteira neste ano	51397	Infomoney	Classificado	Empresa Ação Desempenho em 2019	Onde investir em 2020: as small caps para ter na carteira neste ano	4610
1023976	BTG Pactual	-	2020-01-13	Acciones de SQM saltan a máximos de mayo de 2019 tras espaldarazo del gobierno chino al litio	51579	Diario Financiero	Classificado	BTG analisa demanda por lítio	Acciones de SQM saltan a máximos de mayo de 2019 tras espaldarazo del gobierno chino al litio	4679
1022455	BTG Pactual	-	2020-01-10	Brasil é o mais caro entre 47 países para comprar roupa da Zara, diz estudo	51496	UOL	Classificado	Roupas no Brasil tem alto valor, segundo Índice Zara, do BTG Pactual	Brasil é o mais caro entre 47 países para comprar roupa da Zara, diz estudo	4656
1019963	BTG Pactual	-	2020-01-06	Tensão EUA-Irã faz Ibovespa fechar em queda	51356	Brasil 247	Classificado	BTG analisa desempenho da bolsa	Ibovespa recua e vai abaixo de 117 mil pontos com aumento de tensão geopolítica; Natura sobe	4595
1021361	BTG Pactual	-	2020-01-09	Mercados têm dia de alívio com discurso de Trump	51435	Valor Econômico	Classificado	Estrutura de juro privado	Mercados têm dia de alívio com discurso de Trump	4625
1022143	BTG Pactual	-	2020-01-10	Ano Novo, carro zero	51472	Revista IstoÉDinheiro	Classificado	Banco Pan supera R$ 100 milhões em financiamento digital de veículos	Banco Pan supera R$ 100 milhões em financiamento digital de veículos	4647
1023472	BTG Pactual	-	2020-01-13	Cinco construtoras devem entrar na Bolsa e movimentar R$ 5 bilhões	51551	Diário do Grande ABC	Classificado	BTG analisa mercado imobiliário	BTG analisa mercado imobiliário	4632
1023005	BTG Pactual	-	2020-01-12	Uma disputa de R$ 55 bilhões	51515	O Povo	Classificado	Disputa que pode obrigar a União a ressarcir a Petrobras em R$ 55 bilhões	Uma disputa de R$ 55 bilhões	4660
1024373	BTG Pactual	-	2020-01-14	Governo quer obter R$ 150 bilhões com privatizações em 2020	51588	G1	Classificado	Desestatização arrecadou R$ 105,4 bilhões em 2019	Governo quer obter R$ 150 bilhões com privatizações em 2020	4684
1023036	BTG Pactual	-	2020-01-12	B3 decide quem representa Petrobras em ação contra a União. São R$ 55 bilhões em jogo | Lauro Jardim	51520	O Globo	Classificado	Disputa que pode obrigar a União a ressarcir a Petrobras em R$ 55 bilhões	B3 decide quem representa Petrobras em ação contra a União. São R$ 55 bilhões em jogo | Lauro Jardim	4662
1020182	BTG Pactual	-	2020-01-07	Caixa define sindicato de bancos para IPO de unidade de seguros, dizem fontes	51377	Yahoo Brasil	Classificado	BTG coordena oferta da Caixa	BTG coordena oferta da Caixa	4605
1019943	BTG Pactual	-	2020-01-06	Ibovespa fecha abaixo de 117 mil pontos com tensão EUA-Irã; Petrobras sobe	51354	Reuters Brasil	Classificado	BTG analisa desempenho da bolsa	Ibovespa recua e vai abaixo de 117 mil pontos com aumento de tensão geopolítica; Natura sobe	4595
1022075	BTG Pactual	-	2020-01-10	Servo de dois amos	51468	Carta Capital	Classificado	Delação de Palocci não apresenta provas de que Dilma autorizou o BTG a ter acesso a informações sigilosas	Servo de dois amos	4643
1024517	BTG Pactual	-	2020-01-14	Petrobras conclui venda de fatia na PO&GBV e encerra atividades na África	51593	Revista IstoÉDinheiro	Classificado	Petrobras vende fatia de 50% da Petrobras Oil & Gas B.V.	Petrobras conclui venda de fatia na PO&GBV e encerra atividades na África	4686
1017768	BTG Pactual	-	2020-01-02	Justiça homologa plano da Liq	51288	Valor Econômico	Classificado	BTG Pactual assina plano de recuperação extrajudicial da Liq	BTG Pactual assina plano de recuperação extrajudicial da Liq	4569
1022662	BTG Pactual	-	2020-01-11	Rombo persistente nas contas	51511	Correio Braziliense	Classificado	BTG analisa a economia brasileira	Rombo persistente nas contas	4659
1017778	BTG Pactual	-	2020-01-02	ANCELMO GOIS	51291	O Globo	Classificado	Alta das ações do BTG Pactual	Alta das ações do BTG Pactual	4571
1024094	BTG Pactual	-	2020-01-14	Dólar surpreende e fecha acima de R$ 4,14	51581	Valor Econômico	Classificado	Estrutura de juro privado	Dólar surpreende e fecha acima de R$ 4,14	4680
1019603	BTG Pactual	-	2020-01-06	Ibovespa recua e vai abaixo de 117 mil pontos com aumento de tensão geopolítica; Natura sobe	51335	Yahoo Brasil	Classificado	BTG analisa desempenho da bolsa	Ibovespa recua e vai abaixo de 117 mil pontos com aumento de tensão geopolítica; Natura sobe	4595
1026923	BTG Pactual	-	2020-01-17	Fundo celebra contrato para transferir a Exame para a BTG Pactual Holding	51792	Revista IstoÉDinheiro	Classificado	Exame é oficialmente do BTG	Fundo celebra contrato para transferir a Exame para a BTG Pactual Holding	4766
1026161	BTG Pactual	-	2020-01-17	CSN deve emitir pelo menos US$ 500 milhões em bônus	51746	Valor Econômico	Classificado	BTG emite títulos da CSN	BTG emite títulos da CSN	4754
1026065	BTG Pactual	-	2020-01-17	Um mercado do ainda em construção	51735	Exame	Classificado	BTG trabalha com fundos da Rio Bravo	BTG trabalha com fundos da Rio Bravo	4723
1026222	BTG Pactual	-	2020-01-17	Bancos brasileiros ampliam participação em Portugal para atender maior demanda	51754	Correio Popular	Classificado	BTG Pactual chega em Portugal	BTG Pactual chega em Portugal	4735
1026810	BTG Pactual	-	2020-01-17	Ibovespa retoma 118 mil pts com dados econômicos do exterior e salto de Vale	51779	Terra	Classificado	BTG analisa a empresa: MRV	Ibovespa retoma 118 mil pts com dados econômicos do exterior e salto de Vale	4761
1026873	BTG Pactual	-	2020-01-17	Após leilão da revista Exame, BTG celebra contrato de compra da marca https://t.co/8QBRLTboyo	51783	Gazeta do Povo	Classificado	Exame é oficialmente do BTG	Após leilão da revista Exame, BTG celebra contrato de compra da marca https://t.co/8QBRLTboyo	4765
1026918	BTG Pactual	-	2020-01-17	Fundo celebra contrato para transferir a Exame para a BTG Pactual Holding	51789	UOL	Classificado	Exame é oficialmente do BTG	Fundo celebra contrato para transferir a Exame para a BTG Pactual Holding	4766
1026203	BTG Pactual	-	2020-01-17	Bancos brasileiros ampliam participação em Portugal para atender maior demanda	51752	Portal R7	Classificado	BTG Pactual chega em Portugal	BTG Pactual chega em Portugal	4735
1026090	BTG Pactual	-	2020-01-17	Para vender fatia de até 30%, Ragazzo contrata Bradesco BBI	51742	Valor Econômico	Classificado	BTG disputou o mandato de venda do Ragazzo	BTG disputou o mandato de venda do Ragazzo	4739
1026401	BTG Pactual	-	2020-01-17	Protestas afectaron la producción industrial en noviembre	51764	Portafolio	Classificado	BTG analisa economia colombiana	Protestas afectaron la producción industrial en noviembre	4758
1025990	BTG Pactual	-	2020-01-17	Bancos nacionais vão a Portugal buscar grandes fortunas e proteção do Brexit	51724	Estadão	Classificado	BTG Pactual chega em Portugal	Bancos nacionais vão a Portugal buscar grandes fortunas e proteção do Brexit	4743
1026797	BTG Pactual	-	2020-01-17	Ibovespa retoma 118 mil pts com dados econômicos do exterior e salto de Vale	51773	Reuters Brasil	Classificado	BTG analisa a empresa: MRV	Ibovespa retoma 118 mil pts com dados econômicos do exterior e salto de Vale	4761
1026612	BTG Pactual	-	2020-01-17	Assessor de Guedes vira réu por investimento da Funcef na Sete Brasil	51768	Yahoo Brasil	Classificado	Denúncia sobre fundos de pensão faz 28 réus	Assessor de Guedes vira réu por investimento da Funcef na Sete Brasil	4759
1026005	BTG Pactual	-	2020-01-17	Bancos nacionais vão a Portugal buscar grandes fortunas e proteção do Brexit	51726	Estadão	Classificado	BTG Pactual chega em Portugal	Bancos nacionais vão a Portugal buscar grandes fortunas e proteção do Brexit	4735
1026903	BTG Pactual	-	2020-01-17	Fundo celebra contrato para transferir a Exame para a BTG Pactual Holding	51786	Revista Istoé	Classificado	Exame é oficialmente do BTG	Fundo celebra contrato para transferir a Exame para a BTG Pactual Holding	4766
1026016	BTG Pactual	-	2020-01-17	Bancos nacionais vão a Portugal buscar grandes fortunas e proteção do Brexit	51730	MSN	Classificado	BTG Pactual chega em Portugal	Bancos nacionais vão a Portugal buscar grandes fortunas e proteção do Brexit	4735
1026302	BTG Pactual	-	2020-01-17	Ibovespa avança com dados da China e alta da Vale	51757	UOL	Classificado	BTG analisa a empresa: MRV	BTG analisa a empresa: MRV	4756
1025977	BTG Pactual	-	2020-01-17	Para vender fatia de até 30%, Ragazzo contrata Bradesco BBI	51720	Valor Econômico	Classificado	BTG disputou o mandato de venda do Ragazzo	Para vender fatia de até 30%, Ragazzo contrata Bradesco BBI	4739
1026091	BTG Pactual	-	2020-01-17	Mais de 200 imóveis em leilão	51743	Jornal do Commercio	Classificado	Banco Pan faz leilão de imóveis	Banco Pan faz leilão de imóveis	4752
1026315	BTG Pactual	-	2020-01-17	Ibovespa avança com dados da China e alta da Vale	51762	Reuters Brasil	Classificado	BTG analisa a empresa: MRV	BTG analisa a empresa: MRV	4756
1026194	BTG Pactual	-	2020-01-17	Bancos brasileiros ampliam participação em Portugal para atender maior demanda	51751	Revista IstoÉDinheiro	Classificado	BTG Pactual chega em Portugal	BTG Pactual chega em Portugal	4735
1026176	BTG Pactual	-	2020-01-17	Bancos brasileiros ampliam participação em Portugal para atender maior demanda	51747	Revista Istoé	Classificado	BTG Pactual chega em Portugal	BTG Pactual chega em Portugal	4735
1026095	BTG Pactual	-	2020-01-17	Destaques	51745	Valor Econômico	Classificado	BC aprova aumento de capital do Banco Pan	BC aprova aumento de capital do Banco Pan	4742
1025983	BTG Pactual	-	2020-01-17	Globo faz emissão de US$ 500 milhões	51722	Valor Econômico	Classificado	BTG e Klabin reabrem operações em que emitiram, cada um, US$ 250 milhões	Globo faz emissão de US$ 500 milhões	4741
1026899	BTG Pactual	-	2020-01-17	Fundo celebra contrato para transferir a Exame para a BTG Pactual Holding	51784	Yahoo Brasil	Classificado	Exame é oficialmente do BTG	Fundo celebra contrato para transferir a Exame para a BTG Pactual Holding	4766
1027005	BTG Pactual	-	2020-01-18	Assessor de Guedes vira réu no caso Sete Brasil	51794	Folha de S.Paulo	Classificado	Denúncia sobre fundos de pensão faz 28 réus	Assessor de Guedes vira réu por investimento da Funcef na Sete Brasil	4759
1027044	BTG Pactual	-	2020-01-18	Dinheiro em ação	51795	Revista IstoÉDinheiro	Classificado	BTG analisa a empresa: GPA	Dinheiro em ação	4767
1026018	BTG Pactual	-	2020-01-17	Pan, BMG e Banrisul lideram queixas	51731	Agora São Paulo	Classificado	Banco Pan lidera ranking de reclamações	Pan, BMG e Banrisul lideram queixas	4746
1025003	BTG Pactual	-	2020-01-15	Pan, BMG e Banrisul lideram ranking de reclamações contra bancos em 2019, diz BC	51632	Terra	Classificado	Banco Pan lidera ranking de reclamações	Pan, BMG e Banrisul lideram ranking de reclamações contra bancos em 2019, diz BC	4702
1025532	BTG Pactual	-	2020-01-16	BC divulga o ranking de reclamações	51675	Jornal de Brasília	Classificado	Banco Pan lidera ranking de reclamações	Bancos Pan, BMG e Banrisul lideram ranking de reclamações ao BC	4703
1025446	BTG Pactual	-	2020-01-16	Pan e BMG lideram queixas ao BC	51669	A Tribuna de Santos	Classificado	Banco Pan lidera ranking de reclamações	Bancos Pan, BMG e Banrisul lideram em reclamações	4718
1025032	BTG Pactual	-	2020-01-15	Pan, BMG e Banrisul lideram ranking de reclamações contra bancos em 2019, diz BC	51641	Diário do Grande ABC	Classificado	Banco Pan lidera ranking de reclamações	Pan, BMG e Banrisul lideram ranking de reclamações contra bancos em 2019, diz BC	4702
